string_interactions
#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
GNA12,MYC,9606.ENSP00000275364,9606.ENSP00000478887,0,0,0,0,0,0,0,0.485,0.485
GNA12,PRKACA,9606.ENSP00000275364,9606.ENSP00000309591,0,0,0,0,0.069,0.071,0,0.495,0.525
GNA12,SOS 1,9606.ENSP00000275364,9606.ENSP00000384675,0,0,0,0,0.074,0,0.540,0.167,0.614
GNA12,JMJD7-PLA2G4B,9606.ENSP00000275364,9606.ENSP00000371886,0,0,0,0,0,0,0.650,0,0.650
GNA12,PLA2G4B,9606.ENSP00000275364,9606.ENSP00000396045,0,0,0,0,0,0.055,0.650,0,0.655
GNA12,RASA2,9606.ENSP00000275364,9606.ENSP00000286364,0,0,0,0,0.086,0.048,0.900,0.168,0.917
GRB2,TNFRSF1A,9606.ENSP00000376345,9606.ENSP00000162749,0,0,0,0,0.067,0.510,0,0.710,0.855
GRB2,MAPK1,9606.ENSP00000376345,9606.ENSP00000215832,0,0,0,0,0.093,0,0.400,0.866,0.920
GRB2,IL2RB,9606.ENSP00000376345,9606.ENSP00000216223,0,0,0,0,0.108,0.292,0.400,0.169,0.643
GRB2,SOS 2,9606.ENSP00000376345,9606.ENSP00000216373,0,0,0,0,0.102,0.963,0.900,0.998,0.999
GRB2,PPP2CB,9606.ENSP00000376345,9606.ENSP00000221138,0,0,0,0,0.090,0.068,0.500,0.070,0.553
GRB2,EPOR,9606.ENSP00000376345,9606.ENSP00000222139,0,0,0,0,0,0.630,0.500,0.895,0.978
GRB2,PIK3R2,9606.ENSP00000376345,9606.ENSP00000222254,0,0,0,0.627,0.042,0.605,0.400,0.182,0.789
GRB2,CSF3,9606.ENSP00000376345,9606.ENSP00000225474,0,0,0,0,0,0,0.500,0.199,0.582
GRB2,NFKB1,9606.ENSP00000376345,9606.ENSP00000226574,0,0,0,0,0.099,0.076,0,0.564,0.605
GRB2,IL2,9606.ENSP00000376345,9606.ENSP00000226730,0,0,0,0,0,0,0.400,0.430,0.643
GRB2,CCND1,9606.ENSP00000376345,9606.ENSP00000227507,0,0,0,0,0.074,0,0,0.646,0.658
GRB2,IL5,9606.ENSP00000376345,9606.ENSP00000231454,0,0,0,0,0,0,0.400,0.200,0.499
GRB2,EPO,9606.ENSP00000376345,9606.ENSP00000252723,0,0,0,0,0,0,0.500,0.571,0.776
GRB2,PDGFRA,9606.ENSP00000376345,9606.ENSP00000257290,0,0,0,0,0.055,0.618,0.900,0.365,0.974
GRB2,PDGFRB,9606.ENSP00000376345,9606.ENSP00000261799,0,0,0,0,0.055,0.792,0.900,0.955,0.999
GRB2,CREBBP,9606.ENSP00000376345,9606.ENSP00000262367,0,0,0,0,0.066,0,0,0.513,0.525
GRB2,PIK3R3,9606.ENSP00000376345,9606.ENSP00000262741,0,0,0,0.613,0,0.338,0.400,0.202,0.655
GRB2,MAP2K2,9606.ENSP00000376345,9606.ENSP00000262948,0,0,0,0,0.085,0,0,0.680,0.695
GRB2,EP300,9606.ENSP00000376345,9606.ENSP00000263253,0,0,0,0,0.078,0.202,0,0.502,0.601
GRB2,STAM2,9606.ENSP00000376345,9606.ENSP00000263904,0,0,0,0.665,0.049,0,0.400,0.192,0.499
GRB2,PIK3CA,9606.ENSP00000376345,9606.ENSP00000263967,0,0,0,0,0,0.676,0.400,0.642,0.924
GRB2,STAT3,9606.ENSP00000376345,9606.ENSP00000264657,0,0,0,0,0.145,0.292,0.500,0.685,0.892
GRB2,EGF,9606.ENSP00000376345,9606.ENSP00000265171,0,0,0,0,0,0,0.400,0.993,0.995
GRB2,RASA1,9606.ENSP00000376345,9606.ENSP00000274376,0,0,0,0.659,0.042,0.324,0,0.490,0.641
GRB2,EGFR,9606.ENSP00000376345,9606.ENSP00000275493,0,0,0,0,0.042,0.996,0.900,0.996,0.999
GRB2,PPM1B,9606.ENSP00000376345,9606.ENSP00000282412,0,0,0,0,0.044,0.238,0.500,0,0.603
GRB2,CSF1R,9606.ENSP00000376345,9606.ENSP00000286301,0,0,0,0,0.108,0.653,0.650,0.600,0.950
GRB2,ARAF,9606.ENSP00000376345,9606.ENSP00000290277,0,0,0,0,0.060,0.100,0,0.555,0.591
GRB2,STAT5B,9606.ENSP00000376345,9606.ENSP00000293328,0,0,0,0,0.088,0,0.400,0.751,0.852
GRB2,IL15,9606.ENSP00000376345,9606.ENSP00000296545,0,0,0,0,0.104,0,0.500,0.247,0.633
GRB2,IL3,9606.ENSP00000376345,9606.ENSP00000296870,0,0,0,0,0,0,0.400,0.397,0.622
GRB2,CSF2,9606.ENSP00000376345,9606.ENSP00000296871,0,0,0,0,0,0,0.400,0.293,0.557
GRB2,MAP2K1,9606.ENSP00000376345,9606.ENSP00000302486,0,0,0,0,0.108,0,0,0.800,0.814
GRB2,FOS,9606.ENSP00000376345,9606.ENSP00000306245,0,0,0,0,0.055,0,0,0.507,0.514
GRB2,PRKACA,9606.ENSP00000376345,9606.ENSP00000309591,0,0,0,0,0.060,0,0,0.556,0.564
GRB2,RASGRP2,9606.ENSP00000376345,9606.ENSP00000338864,0,0,0,0,0.075,0.299,0,0.220,0.451
GRB2,NF1,9606.ENSP00000376345,9606.ENSP00000351015,0,0,0,0,0.049,0,0,0.552,0.556
GRB2,FASLG,9606.ENSP00000376345,9606.ENSP00000356694,0,0,0,0,0,0.512,0,0.283,0.635
GRB2,RAP1A,9606.ENSP00000376345,9606.ENSP00000358723,0,0,0,0,0.104,0.073,0.500,0.336,0.687
GRB2,IL6ST,9606.ENSP00000376345,9606.ENSP00000370698,0,0,0,0,0.044,0.292,0.900,0.435,0.956
GRB2,IL5RA,9606.ENSP00000376345,9606.ENSP00000412209,0,0,0,0,0,0.141,0.400,0.104,0.497
GRB2,BRAF,9606.ENSP00000376345,9606.ENSP00000419060,0,0,0,0,0,0.100,0,0.592,0.617
GRB2,PRKCA,9606.ENSP00000376345,9606.ENSP00000408695,0,0,0,0,0.081,0.091,0,0.632,0.665
GRB2,RASGRF1,9606.ENSP00000376345,9606.ENSP00000405963,0,0,0,0,0.069,0.514,0,0.420,0.715
GRB2,MYC,9606.ENSP00000376345,9606.ENSP00000478887,0,0,0,0,0.090,0.161,0,0.678,0.732
GRB2,RAF1,9606.ENSP00000376345,9606.ENSP00000401888,0,0,0,0,0.074,0.100,0,0.776,0.797
GRB2,JAK1,9606.ENSP00000376345,9606.ENSP00000499900,0,0,0,0,0.111,0.496,0.400,0.669,0.899
GRB2,SOS 1,9606.ENSP00000376345,9606.ENSP00000384675,0,0,0,0,0.076,0.998,0.900,0.999,0.999
IFNA1,TNFRSF1A,9606.ENSP00000276927,9606.ENSP00000162749,0,0,0,0,0,0,0,0.514,0.514
IFNA1,IL2RB,9606.ENSP00000276927,9606.ENSP00000216223,0,0,0,0,0,0,0.650,0.322,0.752
IFNA1,EPOR,9606.ENSP00000276927,9606.ENSP00000222139,0,0,0,0,0,0,0.650,0.235,0.720
IFNA1,CSF3,9606.ENSP00000276927,9606.ENSP00000225474,0,0,0,0,0.042,0,0,0.697,0.697
IFNA1,NFKB1,9606.ENSP00000276927,9606.ENSP00000226574,0,0,0,0,0,0,0.650,0.730,0.901
IFNA1,IL2,9606.ENSP00000276927,9606.ENSP00000226730,0,0,0,0,0.083,0,0,0.876,0.881
IFNA1,IL10RA,9606.ENSP00000276927,9606.ENSP00000227752,0,0,0,0,0,0,0.650,0.419,0.787
IFNA1,IFNG,9606.ENSP00000276927,9606.ENSP00000229135,0,0,0,0,0.115,0,0,0.950,0.954
IFNA1,IL4,9606.ENSP00000276927,9606.ENSP00000231449,0,0,0,0,0.058,0,0,0.791,0.794
IFNA1,IL5,9606.ENSP00000276927,9606.ENSP00000231454,0,0,0,0,0.055,0,0,0.712,0.716
IFNA1,IFNA7,9606.ENSP00000276927,9606.ENSP00000239347,0,0,0.053,0.975,0.256,0,0.400,0.047,0.543
IFNA1,IL9R,9606.ENSP00000276927,9606.ENSP00000244174,0,0,0,0,0.044,0,0.650,0.125,0.681
IFNA1,EPO,9606.ENSP00000276927,9606.ENSP00000252723,0,0,0,0,0,0,0,0.516,0.516
IFNA1,PDGFRA,9606.ENSP00000276927,9606.ENSP00000257290,0,0,0,0,0.054,0,0.650,0.358,0.768
IFNA1,PDGFRB,9606.ENSP00000276927,9606.ENSP00000261799,0,0,0,0,0.054,0,0.650,0.378,0.776
IFNA1,IL12RB2,9606.ENSP00000276927,9606.ENSP00000262345,0,0,0,0,0.042,0,0.650,0.400,0.781
IFNA1,CREBBP,9606.ENSP00000276927,9606.ENSP00000262367,0,0,0,0,0,0,0.500,0.290,0.629
IFNA1,EP300,9606.ENSP00000276927,9606.ENSP00000263253,0,0,0,0,0,0,0.500,0.348,0.660
IFNA1,IL27RA,9606.ENSP00000276927,9606.ENSP00000263379,0,0,0,0,0,0,0.650,0.305,0.746
IFNA1,IL7,9606.ENSP00000276927,9606.ENSP00000263851,0,0,0,0,0,0,0,0.697,0.697
IFNA1,IL11,9606.ENSP00000276927,9606.ENSP00000264563,0,0,0,0,0,0,0,0.549,0.549
IFNA1,STAT3,9606.ENSP00000276927,9606.ENSP00000264657,0,0,0,0,0,0,0,0.696,0.696
IFNA1,EGF,9606.ENSP00000276927,9606.ENSP00000265171,0,0,0,0,0,0,0,0.639,0.639
IFNA1,IFNAR1,9606.ENSP00000276927,9606.ENSP00000270139,0,0,0,0,0.058,0.091,0.900,0.999,0.999
IFNA1,IL22RA1,9606.ENSP00000276927,9606.ENSP00000270800,0,0,0,0,0,0,0.650,0.424,0.789
IFNA1,OSMR,9606.ENSP00000276927,9606.ENSP00000274276,0,0,0,0,0,0,0.650,0.132,0.683
IFNA1,IL9,9606.ENSP00000276927,9606.ENSP00000274520,0,0,0,0,0.104,0,0,0.729,0.747
IFNA1,EGFR,9606.ENSP00000276927,9606.ENSP00000275493,0,0,0,0,0,0,0.650,0.505,0.819
IFNA1,CSF1R,9606.ENSP00000276927,9606.ENSP00000286301,0,0,0,0,0.054,0,0,0.418,0.425
IFNA1,CHUK,9606.ENSP00000276927,9606.ENSP00000359424,0,0,0,0,0.054,0,0,0.484,0.491
IFNA1,BRAF,9606.ENSP00000276927,9606.ENSP00000419060,0,0,0,0,0.074,0,0,0.483,0.501
IFNA1,STAT6,9606.ENSP00000276927,9606.ENSP00000300134,0,0,0,0,0,0,0,0.505,0.505
IFNA1,MYC,9606.ENSP00000276927,9606.ENSP00000478887,0,0,0,0,0.055,0,0,0.507,0.514
IFNA1,STAT5B,9606.ENSP00000276927,9606.ENSP00000293328,0,0,0,0,0,0,0,0.574,0.574
IFNA1,FASLG,9606.ENSP00000276927,9606.ENSP00000356694,0,0,0,0,0.047,0,0,0.579,0.581
IFNA1,IL20RA,9606.ENSP00000276927,9606.ENSP00000314976,0,0,0,0,0,0,0.650,0.174,0.698
IFNA1,IL22RA2,9606.ENSP00000276927,9606.ENSP00000296980,0,0,0,0,0,0,0.650,0.180,0.700
IFNA1,IL13,9606.ENSP00000276927,9606.ENSP00000304915,0,0,0,0,0,0,0,0.713,0.713
IFNA1,IL6ST,9606.ENSP00000276927,9606.ENSP00000370698,0,0,0,0,0,0,0.650,0.270,0.733
IFNA1,IL3,9606.ENSP00000276927,9606.ENSP00000296870,0,0,0,0,0.104,0,0,0.751,0.767
IFNA1,IL15,9606.ENSP00000276927,9606.ENSP00000296545,0,0,0,0,0.049,0,0,0.767,0.768
IFNA1,IL5RA,9606.ENSP00000276927,9606.ENSP00000412209,0,0,0,0,0.089,0,0.650,0.368,0.781
IFNA1,CSF2,9606.ENSP00000276927,9606.ENSP00000296871,0,0,0,0,0.048,0,0,0.850,0.851
IFNA1,IFNK,9606.ENSP00000276927,9606.ENSP00000276943,0,0,0.133,0.725,0.054,0,0,0.851,0.867
IFNA1,IL10RB,9606.ENSP00000276927,9606.ENSP00000290200,0,0,0,0,0.058,0.091,0.650,0.727,0.907
IFNA1,IFNGR1,9606.ENSP00000276927,9606.ENSP00000356713,0,0,0,0,0.074,0,0.650,0.897,0.963
IFNA1,JAK1,9606.ENSP00000276927,9606.ENSP00000499900,0,0,0,0,0,0,0.650,0.980,0.992
IFNA7,IL2RB,9606.ENSP00000239347,9606.ENSP00000216223,0,0,0,0,0,0,0.650,0.105,0.673
IFNA7,EPOR,9606.ENSP00000239347,9606.ENSP00000222139,0,0,0,0,0,0,0.650,0.131,0.682
IFNA7,CSF3,9606.ENSP00000239347,9606.ENSP00000225474,0,0,0,0,0,0,0,0.506,0.506
IFNA7,NFKB1,9606.ENSP00000239347,9606.ENSP00000226574,0,0,0,0,0,0,0.650,0.368,0.769
IFNA7,IL2,9606.ENSP00000239347,9606.ENSP00000226730,0,0,0,0,0.056,0,0,0.855,0.857
IFNA7,IL10RA,9606.ENSP00000239347,9606.ENSP00000227752,0,0,0,0,0,0,0.650,0.113,0.676
IFNA7,IFNG,9606.ENSP00000239347,9606.ENSP00000229135,0,0,0,0,0.108,0,0,0.761,0.778
IFNA7,IL4,9606.ENSP00000239347,9606.ENSP00000231449,0,0,0,0,0.045,0,0,0.475,0.477
IFNA7,EPO,9606.ENSP00000239347,9606.ENSP00000252723,0,0,0,0,0,0,0,0.480,0.480
IFNA7,BRAF,9606.ENSP00000239347,9606.ENSP00000419060,0,0,0,0,0.074,0,0,0.479,0.497
IFNA7,CSF2,9606.ENSP00000239347,9606.ENSP00000296871,0,0,0,0,0.054,0,0,0.505,0.511
IFNA7,CREBBP,9606.ENSP00000239347,9606.ENSP00000262367,0,0,0,0,0,0,0.500,0.104,0.532
IFNA7,EP300,9606.ENSP00000239347,9606.ENSP00000263253,0,0,0,0,0,0,0.500,0.110,0.535
IFNA7,IFNA1,9606.ENSP00000239347,9606.ENSP00000276927,0,0,0.053,0.975,0.256,0,0.400,0.047,0.543
IFNA7,IL22RA2,9606.ENSP00000239347,9606.ENSP00000296980,0,0,0,0,0,0,0.650,0,0.650
IFNA7,IL27RA,9606.ENSP00000239347,9606.ENSP00000263379,0,0,0,0,0,0,0.650,0,0.650
IFNA7,OSMR,9606.ENSP00000239347,9606.ENSP00000274276,0,0,0,0,0,0,0.650,0,0.650
IFNA7,IL20RA,9606.ENSP00000239347,9606.ENSP00000314976,0,0,0,0,0,0,0.650,0,0.650
IFNA7,IL22RA1,9606.ENSP00000239347,9606.ENSP00000270800,0,0,0,0,0.043,0,0.650,0,0.650
IFNA7,IL9R,9606.ENSP00000239347,9606.ENSP00000244174,0,0,0,0,0.056,0,0.650,0.063,0.663
IFNA7,IL6ST,9606.ENSP00000239347,9606.ENSP00000370698,0,0,0,0,0,0,0.650,0.079,0.663
IFNA7,IL12RB2,9606.ENSP00000239347,9606.ENSP00000262345,0,0,0,0,0,0,0.650,0.097,0.670
IFNA7,IL5RA,9606.ENSP00000239347,9606.ENSP00000412209,0,0,0,0,0.091,0,0.650,0.125,0.697
IFNA7,IL10RB,9606.ENSP00000239347,9606.ENSP00000290200,0,0,0,0,0.058,0.091,0.650,0.139,0.707
IFNA7,EGFR,9606.ENSP00000239347,9606.ENSP00000275493,0,0,0,0,0,0,0.650,0.370,0.770
IFNA7,PDGFRB,9606.ENSP00000239347,9606.ENSP00000261799,0,0,0,0,0.054,0,0.650,0.370,0.773
IFNA7,JAK1,9606.ENSP00000239347,9606.ENSP00000499900,0,0,0,0,0,0,0.650,0.395,0.779
IFNA7,PDGFRA,9606.ENSP00000239347,9606.ENSP00000257290,0,0,0,0,0.054,0,0.650,0.397,0.782
IFNA7,IFNGR1,9606.ENSP00000239347,9606.ENSP00000356713,0,0,0,0,0.074,0,0.650,0.520,0.830
IFNA7,IFNAR1,9606.ENSP00000239347,9606.ENSP00000270139,0,0,0,0,0.058,0.091,0.900,0.720,0.972
IFNAR1,TNFRSF1A,9606.ENSP00000270139,9606.ENSP00000162749,0,0,0,0,0.132,0,0,0.593,0.631
IFNAR1,OSM,9606.ENSP00000270139,9606.ENSP00000215781,0,0,0,0,0.044,0,0.650,0.152,0.691
IFNAR1,CSF3,9606.ENSP00000270139,9606.ENSP00000225474,0,0,0,0,0,0,0.650,0.318,0.751
IFNAR1,NFKB1,9606.ENSP00000270139,9606.ENSP00000226574,0,0,0,0,0.070,0,0,0.447,0.464
IFNAR1,IL2,9606.ENSP00000270139,9606.ENSP00000226730,0,0,0,0,0,0,0.650,0.479,0.809
IFNAR1,IL10RA,9606.ENSP00000270139,9606.ENSP00000227752,0,0,0.209,0,0.085,0,0,0.415,0.540
IFNAR1,IL23A,9606.ENSP00000270139,9606.ENSP00000228534,0,0,0,0,0,0,0.650,0.201,0.708
IFNAR1,IFNG,9606.ENSP00000270139,9606.ENSP00000229135,0,0,0,0,0,0,0.900,0.898,0.989
IFNAR1,IL12B,9606.ENSP00000270139,9606.ENSP00000231228,0,0,0,0,0.087,0,0.650,0.163,0.709
IFNAR1,IL4,9606.ENSP00000270139,9606.ENSP00000231449,0,0,0,0,0,0,0.650,0.604,0.855
IFNAR1,IL5,9606.ENSP00000270139,9606.ENSP00000231454,0,0,0,0,0.082,0,0.650,0.336,0.768
IFNAR1,IFNA7,9606.ENSP00000270139,9606.ENSP00000239347,0,0,0,0,0.058,0.091,0.900,0.720,0.972
IFNAR1,LIF,9606.ENSP00000270139,9606.ENSP00000249075,0,0,0,0,0,0,0.650,0.162,0.694
IFNAR1,EPO,9606.ENSP00000270139,9606.ENSP00000252723,0,0,0,0,0,0,0.650,0.198,0.707
IFNAR1,EP300,9606.ENSP00000270139,9606.ENSP00000263253,0,0,0,0,0.049,0.292,0,0.187,0.404
IFNAR1,IL7,9606.ENSP00000270139,9606.ENSP00000263851,0,0,0,0,0.102,0,0.650,0.348,0.777
IFNAR1,IL11,9606.ENSP00000270139,9606.ENSP00000264563,0,0,0,0,0,0,0.650,0.301,0.744
IFNAR1,STAT3,9606.ENSP00000270139,9606.ENSP00000264657,0,0,0,0,0.110,0.294,0,0.862,0.906
IFNAR1,EGF,9606.ENSP00000270139,9606.ENSP00000265171,0,0,0,0,0,0,0.650,0.204,0.709
IFNAR1,CHUK,9606.ENSP00000270139,9606.ENSP00000359424,0,0,0,0,0.083,0.046,0,0.370,0.401
IFNAR1,STAT5B,9606.ENSP00000270139,9606.ENSP00000293328,0,0,0,0,0.130,0,0,0.393,0.449
IFNAR1,IL10RB,9606.ENSP00000270139,9606.ENSP00000290200,0,0,0,0.652,0.178,0,0,0.395,0.482
IFNAR1,IL22RA1,9606.ENSP00000270139,9606.ENSP00000270800,0,0,0,0.557,0,0.317,0,0.322,0.517
IFNAR1,STAT6,9606.ENSP00000270139,9606.ENSP00000300134,0,0,0,0,0.076,0.292,0,0.428,0.593
IFNAR1,CTF1,9606.ENSP00000270139,9606.ENSP00000279804,0,0,0,0,0,0,0.650,0,0.650
IFNAR1,IL17D,9606.ENSP00000270139,9606.ENSP00000302924,0,0,0,0,0,0,0.650,0.092,0.668
IFNAR1,IL12A,9606.ENSP00000270139,9606.ENSP00000303231,0,0,0,0,0,0,0.650,0.138,0.685
IFNAR1,IL9,9606.ENSP00000270139,9606.ENSP00000274520,0,0,0,0,0,0,0.650,0.232,0.719
IFNAR1,PRL,9606.ENSP00000270139,9606.ENSP00000302150,0,0,0.202,0,0,0,0.650,0.081,0.720
IFNAR1,IL3,9606.ENSP00000270139,9606.ENSP00000296870,0,0,0,0,0,0,0.650,0.275,0.735
IFNAR1,IL13,9606.ENSP00000270139,9606.ENSP00000304915,0,0,0,0,0,0,0.650,0.367,0.768
IFNAR1,IL15,9606.ENSP00000270139,9606.ENSP00000296545,0,0,0,0,0.114,0,0.650,0.437,0.810
IFNAR1,CSF2,9606.ENSP00000270139,9606.ENSP00000296871,0,0,0,0,0,0,0.650,0.505,0.819
IFNAR1,IFNGR1,9606.ENSP00000270139,9606.ENSP00000356713,0,0,0,0,0.161,0.429,0.900,0.863,0.992
IFNAR1,IFNK,9606.ENSP00000270139,9606.ENSP00000276943,0,0,0,0,0.058,0.091,0.900,0.970,0.997
IFNAR1,JAK1,9606.ENSP00000270139,9606.ENSP00000499900,0,0,0,0,0.111,0.365,0.900,0.998,0.999
IFNAR1,IFNA1,9606.ENSP00000270139,9606.ENSP00000276927,0,0,0,0,0.058,0.091,0.900,0.999,0.999
IFNG,TNFRSF1A,9606.ENSP00000229135,9606.ENSP00000162749,0,0,0,0,0,0,0,0.919,0.919
IFNG,OSM,9606.ENSP00000229135,9606.ENSP00000215781,0,0,0,0,0.092,0,0,0.683,0.699
IFNG,MAPK1,9606.ENSP00000229135,9606.ENSP00000215832,0,0,0,0,0,0,0,0.627,0.627
IFNG,IL2RB,9606.ENSP00000229135,9606.ENSP00000216223,0,0,0,0,0.257,0,0.650,0.767,0.934
IFNG,EPOR,9606.ENSP00000229135,9606.ENSP00000222139,0,0,0,0,0,0,0.650,0.284,0.738
IFNG,CSF3,9606.ENSP00000229135,9606.ENSP00000225474,0,0,0,0,0.098,0,0,0.988,0.989
IFNG,NFKB1,9606.ENSP00000229135,9606.ENSP00000226574,0,0,0,0,0.090,0,0,0.929,0.932
IFNG,IL2,9606.ENSP00000229135,9606.ENSP00000226730,0,0,0,0,0.295,0,0,0.987,0.990
IFNG,CCND1,9606.ENSP00000229135,9606.ENSP00000227507,0,0,0,0,0,0,0,0.488,0.488
IFNG,IL10RA,9606.ENSP00000229135,9606.ENSP00000227752,0,0,0,0,0.086,0,0.650,0.748,0.912
IFNG,IL23A,9606.ENSP00000229135,9606.ENSP00000228534,0,0,0,0,0.149,0,0,0.696,0.730
IFNG,MAP2K1,9606.ENSP00000229135,9606.ENSP00000302486,0,0,0,0,0,0,0,0.437,0.437
IFNG,DUSP1,9606.ENSP00000229135,9606.ENSP00000239223,0,0,0,0,0.081,0,0,0.419,0.443
IFNG,PRKACA,9606.ENSP00000229135,9606.ENSP00000309591,0,0,0,0,0,0,0,0.447,0.447
IFNG,EP300,9606.ENSP00000229135,9606.ENSP00000263253,0,0,0,0,0,0,0,0.451,0.451
IFNG,IL12A,9606.ENSP00000229135,9606.ENSP00000303231,0,0,0,0,0.159,0,0,0.385,0.461
IFNG,MAPT,9606.ENSP00000229135,9606.ENSP00000340820,0,0,0.216,0,0,0,0,0.355,0.473
IFNG,PRL,9606.ENSP00000229135,9606.ENSP00000302150,0,0,0,0,0,0,0,0.480,0.480
IFNG,BRAF,9606.ENSP00000229135,9606.ENSP00000419060,0,0,0,0,0.049,0,0,0.506,0.510
IFNG,CHUK,9606.ENSP00000229135,9606.ENSP00000359424,0,0,0,0,0.049,0,0,0.514,0.518
IFNG,LIF,9606.ENSP00000229135,9606.ENSP00000249075,0,0,0,0,0.042,0,0,0.543,0.543
IFNG,IFNK,9606.ENSP00000229135,9606.ENSP00000276943,0,0,0,0,0.108,0,0,0.509,0.543
IFNG,CSF1R,9606.ENSP00000229135,9606.ENSP00000286301,0,0,0,0,0.075,0,0,0.626,0.640
IFNG,MYC,9606.ENSP00000229135,9606.ENSP00000478887,0,0,0,0,0.138,0,0,0.621,0.659
IFNG,IL11,9606.ENSP00000229135,9606.ENSP00000264563,0,0,0,0,0,0,0,0.674,0.674
IFNG,OSMR,9606.ENSP00000229135,9606.ENSP00000274276,0,0,0,0,0,0,0.650,0.240,0.722
IFNG,EPO,9606.ENSP00000229135,9606.ENSP00000252723,0,0,0,0,0.067,0,0,0.719,0.726
IFNG,IL12B,9606.ENSP00000229135,9606.ENSP00000231228,0,0,0.375,0,0.197,0,0,0.523,0.740
IFNG,IL9R,9606.ENSP00000229135,9606.ENSP00000244174,0,0,0,0,0,0,0.650,0.308,0.747
IFNG,FOS,9606.ENSP00000229135,9606.ENSP00000306245,0,0,0,0,0.124,0,0,0.728,0.751
IFNG,IL22RA2,9606.ENSP00000229135,9606.ENSP00000296980,0,0,0,0,0.093,0,0.650,0.311,0.762
IFNG,IL5RA,9606.ENSP00000229135,9606.ENSP00000412209,0,0,0,0,0.044,0,0.650,0.358,0.766
IFNG,IFNA7,9606.ENSP00000229135,9606.ENSP00000239347,0,0,0,0,0.108,0,0,0.761,0.778
IFNG,EGF,9606.ENSP00000229135,9606.ENSP00000265171,0,0,0,0,0,0,0,0.781,0.781
IFNG,PDGFRA,9606.ENSP00000229135,9606.ENSP00000257290,0,0,0,0,0.104,0,0.650,0.369,0.784
IFNG,PDGFRB,9606.ENSP00000229135,9606.ENSP00000261799,0,0,0,0,0.109,0,0.650,0.401,0.797
IFNG,IL22RA1,9606.ENSP00000229135,9606.ENSP00000270800,0,0,0,0,0,0,0.650,0.447,0.798
IFNG,IL20RA,9606.ENSP00000229135,9606.ENSP00000314976,0,0,0.257,0,0,0,0.650,0.311,0.805
IFNG,STAT5B,9606.ENSP00000229135,9606.ENSP00000293328,0,0,0,0,0.054,0,0,0.820,0.823
IFNG,IL10RB,9606.ENSP00000229135,9606.ENSP00000290200,0,0,0,0,0,0,0.650,0.553,0.837
IFNG,IL9,9606.ENSP00000229135,9606.ENSP00000274520,0,0,0,0,0.083,0,0,0.831,0.838
IFNG,IL6ST,9606.ENSP00000229135,9606.ENSP00000370698,0,0,0,0,0.121,0,0.650,0.598,0.865
IFNG,EGFR,9606.ENSP00000229135,9606.ENSP00000275493,0,0,0,0,0,0,0.650,0.661,0.876
IFNG,IL27RA,9606.ENSP00000229135,9606.ENSP00000263379,0,0,0,0,0.121,0,0.650,0.702,0.900
IFNG,STAT6,9606.ENSP00000229135,9606.ENSP00000300134,0,0,0,0,0.054,0.292,0,0.863,0.900
IFNG,IL7,9606.ENSP00000229135,9606.ENSP00000263851,0,0,0,0,0.140,0,0,0.888,0.900
IFNG,STAT3,9606.ENSP00000229135,9606.ENSP00000264657,0,0,0,0,0.058,0,0,0.905,0.907
IFNG,FASLG,9606.ENSP00000229135,9606.ENSP00000356694,0,0,0,0,0.555,0,0,0.856,0.933
IFNG,IL15,9606.ENSP00000229135,9606.ENSP00000296545,0,0,0,0,0.099,0,0,0.935,0.939
IFNG,IL12RB2,9606.ENSP00000229135,9606.ENSP00000262345,0,0,0,0,0.207,0,0.650,0.833,0.949
IFNG,IFNA1,9606.ENSP00000229135,9606.ENSP00000276927,0,0,0,0,0.115,0,0,0.950,0.954
IFNG,IL5,9606.ENSP00000229135,9606.ENSP00000231454,0,0,0,0,0.072,0,0,0.959,0.960
IFNG,IL13,9606.ENSP00000229135,9606.ENSP00000304915,0,0,0,0,0.072,0,0,0.960,0.961
IFNG,IL3,9606.ENSP00000229135,9606.ENSP00000296870,0,0,0,0,0.149,0,0,0.981,0.983
IFNG,CSF2,9606.ENSP00000229135,9606.ENSP00000296871,0,0,0,0,0.181,0,0,0.981,0.984
IFNG,IFNAR1,9606.ENSP00000229135,9606.ENSP00000270139,0,0,0,0,0,0,0.900,0.898,0.989
IFNG,IL4,9606.ENSP00000229135,9606.ENSP00000231449,0,0,0,0,0.110,0,0,0.990,0.990
IFNG,JAK1,9606.ENSP00000229135,9606.ENSP00000499900,0,0,0,0,0.057,0,0.900,0.939,0.993
IFNG,IFNGR1,9606.ENSP00000229135,9606.ENSP00000356713,0,0,0.284,0,0,0.985,0.900,0.998,0.999
IFNGR1,TNFRSF1A,9606.ENSP00000356713,9606.ENSP00000162749,0,0,0,0,0.124,0,0,0.786,0.804
IFNGR1,OSM,9606.ENSP00000356713,9606.ENSP00000215781,0,0,0,0,0.064,0,0.650,0.167,0.703
IFNGR1,IL2RB,9606.ENSP00000356713,9606.ENSP00000216223,0,0,0,0,0.063,0,0,0.531,0.541
IFNGR1,PIK3R2,9606.ENSP00000356713,9606.ENSP00000222254,0,0,0,0,0,0,0.900,0.097,0.905
